edad,pais_origen,ciudad_ecuador,tipo_viaje,fecha_viaje,transporte,hospedaje,personas_viaje,dias_estancia,pasajes,costot_comida,gastos_extras,satisfaccion
62,Greece,Manta,Aventura,2025-05-31,Bus,Casa huespedes,6,6,400,792,192,8
67,Andorra,Cuenca,Negocios,2026-04-28,Auto,Hostal,3,5,810,180,280,8
23,Canada,Riobamba,Aventura,2025-07-24,Motociclista,Resort,3,11,1104,1287,259,6
69,Gibraltar,Otavalo,Vacaciones,2026-02-18,Ciclista,Resort,5,2,659,100,180,1
54,Cape Verde,Guayaquil,Aventura,2026-01-17,Avión,Hotel,1,11,325,187,225,1
25,Saint Lucia,Cuenca,Estudio,2025-06-16,Ciclista,Airbnb,1,14,204,434,28,8
62,British Virgin Islands,Quito,Aventura,2025-11-20,Avión,Airbnb,2,2,479,40,245,6
33,Svalbard & Jan Mayen Islands,Cuenca,Estudio,2025-08-25,Avión,Casa huespedes,4,2,269,144,79,9
52,Cuba,Guayaquil,Visita Familia,2026-02-13,Motociclista,Resort,5,14,256,1330,43,10
60,Hungary,Guayaquil,Vacaciones,2025-10-22,Ciclista,Hotel,3,14,491,1134,276,7
52,Paraguay,Manta,Vacaciones,2026-02-24,Auto,Casa huespedes,4,7,174,784,148,5
66,Cocos (Keeling) Islands,Manta,Vacaciones,2025-12-03,Bus,Hotel,6,5,1052,1050,203,3
50,Greece,Pastaza,Aventura,2025-10-05,Auto,Hotel,4,12,678,576,200,7
30,Guadeloupe,Otavalo,Visita Familia,2026-05-19,Avión,Hostal,6,15,1043,2070,282,1
39,Liechtenstein,Guayaquil,Negocios,2025-10-24,Ciclista,Resort,1,10,682,250,291,8
32,Cook Islands,Loja,Aventura,2025-11-14,Avión,Hotel,5,1,595,60,50,4
69,Jamaica,Manta,Vacaciones,2025-10-31,Motociclista,Hostal,3,7,807,840,66,9
50,Christmas Island,Manta,Vacaciones,2026-05-02,Avión,Hotel,3,11,631,1254,148,1
28,Comoros,Cuenca,Estudio,2025-11-19,Auto,Hostal,2,11,1181,858,114,9
19,Algeria,Riobamba,Vacaciones,2025-06-18,Bus,Hostal,4,9,923,720,70,5
34,Nigeria,Quito,Visita Familia,2026-03-06,Ciclista,Hostal,2,1,687,50,229,9
18,China,Zamora,Aventura,2025-06-02,Auto,Hostal,1,13,821,221,231,6
38,Congo,Riobamba,Visita Familia,2025-09-14,Ciclista,Airbnb,1,14,325,518,41,2
35,Spain,Quito,Visita Familia,2025-12-21,Auto,Hotel,5,9,435,585,172,1
46,Montserrat,Zamora,Estudio,2026-03-23,Avión,Airbnb,3,8,856,408,204,6
31,Senegal,Quito,Negocios,2025-11-29,Auto,Airbnb,6,7,838,1134,190,3
35,Panama,Quito,Visita Familia,2026-02-27,Ciclista,Casa huespedes,1,3,1059,117,216,3
46,Timor-Leste,Loja,Vacaciones,2026-02-28,Avión,Hotel,1,9,636,234,188,9
35,Greece,Guayaquil,Estudio,2025-12-31,Bus,Hostal,2,6,173,384,256,3
44,Barbados,Riobamba,Visita Familia,2026-01-16,Motociclista,Hostal,5,1,778,115,36,5
62,Turks and Caicos Islands,Pastaza,Aventura,2025-09-06,Motociclista,Resort,5,7,1091,840,28,10
46,Czech Republic,Cuenca,Estudio,2026-02-08,Ciclista,Hostal,1,13,637,351,234,3
38,Ethiopia,Baños,Aventura,2025-06-30,Ciclista,Casa huespedes,2,4,873,224,76,6
27,Netherlands,Manta,Estudio,2025-10-12,Ciclista,Hostal,3,4,645,336,78,3
38,Netherlands Antilles,Riobamba,Vacaciones,2025-11-13,Avión,Resort,4,15,157,1620,247,10
35,Timor-Leste,Guayaquil,Aventura,2026-05-20,Motociclista,Casa huespedes,2,6,1082,240,20,4
39,Bahamas,Riobamba,Aventura,2026-02-04,Avión,Casa huespedes,1,1,489,34,196,4
30,Slovakia (Slovak Republic),Guayaquil,Estudio,2025-09-15,Avión,Hotel,1,6,276,90,95,8
23,Cyprus,Guayaquil,Estudio,2026-03-29,Ciclista,Hotel,4,15,479,600,261,6
51,Mauritania,Loja,Aventura,2026-01-16,Motociclista,Resort,2,4,651,200,121,5
63,Latvia,Guayaquil,Estudio,2025-08-25,Motociclista,Hostal,1,13,572,364,228,1
34,American Samoa,Manta,Vacaciones,2026-04-26,Bus,Hostal,5,10,132,500,114,10
53,Antigua and Barbuda,Baños,Visita Familia,2025-10-31,Avión,Airbnb,3,6,334,198,130,10
50,Montenegro,Baños,Estudio,2026-03-14,Auto,Hostal,3,10,503,750,45,9
46,Guyana,Cuenca,Aventura,2025-09-10,Avión,Airbnb,3,4,861,432,46,10
18,Maldives,Guayaquil,Aventura,2025-09-24,Auto,Casa huespedes,1,4,1089,92,35,3
51,Bouvet Island (Bouvetoya),Cuenca,Vacaciones,2025-06-23,Auto,Airbnb,6,9,721,1134,128,6
48,Samoa,Baños,Vacaciones,2026-02-12,Auto,Resort,1,9,844,261,183,5
30,India,Quito,Vacaciones,2025-08-23,Avión,Resort,2,2,551,84,202,4
65,Grenada,Cuenca,Aventura,2025-12-17,Auto,Hotel,1,4,472,72,129,5
38,Saint Vincent and the Grenadines,Cuenca,Negocios,2025-06-06,Ciclista,Airbnb,3,3,321,180,120,10
53,Saint Pierre and Miquelon,Pastaza,Visita Familia,2026-05-07,Bus,Hotel,3,13,1140,1209,34,4
66,Antarctica (the territory South of 60 deg S),Riobamba,Aventura,2025-08-06,Ciclista,Hotel,5,12,1062,1440,60,2
66,Montenegro,Guayaquil,Aventura,2025-07-24,Motociclista,Hostal,1,12,940,120,42,6
56,Timor-Leste,Riobamba,Aventura,2025-11-28,Auto,Hostal,1,3,390,111,78,2
56,Palestinian Territory,Loja,Vacaciones,2025-11-03,Bus,Casa huespedes,5,14,119,2380,280,4
19,Switzerland,Riobamba,Vacaciones,2026-03-15,Motociclista,Hostal,4,12,163,1248,36,1
48,Qatar,Cuenca,Estudio,2025-07-01,Ciclista,Hostal,1,13,1177,351,289,10
38,Saint Kitts and Nevis,Baños,Visita Familia,2025-07-20,Avión,Hotel,3,2,1132,186,71,6
53,Morocco,Baños,Aventura,2026-01-21,Bus,Airbnb,5,8,666,1480,184,8
47,Sierra Leone,Zamora,Visita Familia,2025-10-27,Bus,Airbnb,6,1,191,84,282,5
45,Mexico,Zamora,Vacaciones,2025-07-11,Ciclista,Hotel,5,1,694,170,278,2
27,Tuvalu,Zamora,Aventura,2025-11-22,Motociclista,Hotel,2,1,230,66,97,9
59,Iraq,Baños,Visita Familia,2025-06-13,Motociclista,Airbnb,4,3,316,384,273,9
54,Marshall Islands,Otavalo,Aventura,2025-08-22,Motociclista,Airbnb,6,15,712,1440,161,4
60,French Guiana,Zamora,Estudio,2025-08-16,Avión,Hostal,5,11,411,1705,267,6
47,Central African Republic,Guayaquil,Aventura,2025-10-01,Bus,Airbnb,2,9,947,288,200,10
65,Fiji,Pastaza,Negocios,2025-09-18,Auto,Hotel,6,2,208,156,115,2
63,Montserrat,Zamora,Aventura,2026-04-08,Auto,Hotel,3,6,1127,450,127,7
49,Lebanon,Baños,Estudio,2025-07-31,Ciclista,Airbnb,4,4,224,256,92,6
54,Kuwait,Quito,Aventura,2026-02-26,Motociclista,Casa huespedes,4,8,394,448,204,2
38,Ecuador,Pastaza,Visita Familia,2025-08-20,Ciclista,Hostal,5,12,868,1020,64,7
67,South Georgia and the South Sandwich Islands,Manta,Visita Familia,2026-02-25,Motociclista,Resort,1,6,354,84,205,9
36,Iraq,Manta,Visita Familia,2026-04-26,Bus,Casa huespedes,3,13,1135,897,91,1
58,Rwanda,Otavalo,Negocios,2026-05-14,Avión,Casa huespedes,3,7,1121,273,297,7
58,Namibia,Pastaza,Negocios,2025-09-13,Motociclista,Hostal,1,1,950,38,74,9
65,Barbados,Manta,Aventura,2025-07-07,Avión,Casa huespedes,3,13,981,507,163,2
68,New Zealand,Quito,Visita Familia,2025-07-22,Auto,Casa huespedes,3,3,1128,306,159,9
40,Turkmenistan,Quito,Vacaciones,2026-05-06,Avión,Resort,1,12,1100,180,156,1
70,Israel,Guayaquil,Aventura,2026-05-16,Motociclista,Hotel,5,6,695,570,215,5
52,Libyan Arab Jamahiriya,Baños,Estudio,2025-06-11,Bus,Airbnb,2,7,908,434,268,4
27,Bouvet Island (Bouvetoya),Pastaza,Visita Familia,2025-06-06,Bus,Hotel,3,1,119,63,258,8
35,Burundi,Otavalo,Aventura,2025-09-21,Avión,Resort,3,8,972,312,99,7
68,Colombia,Cuenca,Negocios,2026-02-08,Bus,Hotel,3,10,640,1170,89,3
56,Afghanistan,Riobamba,Vacaciones,2025-12-11,Auto,Hostal,2,7,648,280,212,10
50,Canada,Loja,Aventura,2026-01-03,Auto,Hotel,1,14,451,434,257,9
20,Seychelles,Cuenca,Negocios,2026-05-19,Motociclista,Hostal,5,9,989,540,282,3
66,Cyprus,Guayaquil,Negocios,2025-12-07,Ciclista,Airbnb,5,9,579,990,287,10
31,Korea,Baños,Estudio,2025-07-05,Ciclista,Airbnb,5,9,839,675,178,3
32,Senegal,Loja,Visita Familia,2025-06-17,Ciclista,Resort,4,14,772,1176,144,3
22,El Salvador,Loja,Negocios,2026-01-04,Auto,Resort,1,14,461,224,102,5
33,Iraq,Guayaquil,Visita Familia,2025-10-03,Ciclista,Hotel,2,15,264,960,42,4
67,Gabon,Otavalo,Aventura,2026-01-18,Ciclista,Hotel,5,8,1148,800,83,5
26,Suriname,Zamora,Negocios,2026-05-07,Bus,Hotel,2,8,464,256,284,3
63,Bangladesh,Baños,Vacaciones,2025-08-30,Motociclista,Hostal,5,12,210,2160,265,5
